sentiment,text
positive,"This is a great product. A bit more expensive than a lot of other similar items on Amazon, but this is made with much more quality. It is very sturdy and fold up flat for easy storage when not in use."
positive,Just what I was expecting very affordable an great same as the dealer quality at better price
positive,I haven't had a remote for my old Odyssey for years because the Honda unit cost too much. This was reasonable and I was able to easily figure out how to link it to the car.  Just do a search on YouTube for instructions.
positive,Perfect replacement air filter for a 2013 fiat pop c.
positive,Shipped fast. Everything is as expected. I'm happy. Using it for my cabin outhouse.
positive,Love this amazing gadget! I have used it three times to help friends jumpstart their cars and it works flawlessly!
positive,These save an enormous amount of time compared to the average clay bar
positive,"UPDATE (4/5/2021): Completed the installation 2 days later after getting my serpentine belt tool. The clearance between the frame and the tensioner bolt was less than needed to accomplish the procedure with a socket and wrench. It required a special tool. However, I still had to grind down the edges of the tool to get the socket onto and off the bolt. That was done, and the alternator was installed. The new alternator has been performing ever since it was installed 3 months ago. Output voltage while running is 14.2–14.5 volts.<br /><br />Original Review (1/27/2021):<br />The alternator appears to be an exact match in terms of its physical size and configuration as the one that is being replaced. The car I am installing it in is at another location, and I was unable to complete the installation due to the fact that I did not have the serpentine belt tool necessary to remove the belt.<br /><br />Inside the box was a small piece of paper, a leaflet, that said INSTALLATION INSTRUCTIONS on the outside. Hahaha. Not one word as to HOW the alternator was to be installed. A decent set of instructions would have said the clearance between the frame and the idler pulley was barely more than one inch and a special tool would be needed. With that bit of information, the replacement might have been accomplished in less than 30 minutes."
negative,"Had this for just a couple of months, and want to wait to do the review to ask I had used it for a while. At first the material seem like it might hold up it seemed thick enough. But within the first couple of weeks and started to feel simply like having a towel and as opposed to a thick had to sit on. As of right now I cannot even tell that it's there because it simply is flattened all the way and does not recover after being sat on. I would return it but it's past the time of the return.<br /><br />I would not recommend this in with search elsewhere for a more prominently that pad for your chair this is not it. Do not think this would work very well in the auto use either because of your city and for a long period of time it doesn't seem to stay put, and seems to flatten out within just a couple of minutes"
positive,Worked great.<br />It went on exactly as advertised. I was amazed how easily it worked.<br />Just make sure you use their Deglazer first.
positive,Just what I wanted worked well
positive,As advertised.  Simple to install.  2004 Silverado 2500HD.  I didn't remove the spare tire and had plenty enough room.<br />I mounted it on drivers side rear above bed tie down.  Total install time with looking for tools etc was 35 minutes.
positive,"Just a little bit of a ""bump"" in the passenger side mat.<br />I also have no idea what the ""warmth"" rating is for but these mats are great for the price."
negative,Truck is very shiny but not really sure it did a great job on the small scratches & swirls etc etc<br />They are harder to see cuz truck is so shiny overall an 8.5 out of 10<br />I haven't really found a product that makes swirls & scratches dissappear
negative,Didn’t fit
positive,Delivered as advertised. I am happy with it.
positive,good load tester
positive,Worked perfectly and shipping fast. Don't forget to torque per specs!
positive,"My basket is larger than front basket, so I ordered 2. Put them on rack. They are loose. Perfect for farmers market or small grocery list."
positive,These are a Christmas gift for my granddaughter and they are perfect.  They look better than I expected.  They are made very well and the color is vivid.  She is going to absolutely love them.
positive,great product
negative,Smell is something to get used to. It takes a bit of this  product to get a good shine on certain surfaces. Be careful of which surface this product goes on.
positive,Great product
positive,"Best product in this category I've found. Works great for our fleet of 5 cars, making tire rotations and feeling safe a piece of cake!"
positive,Works perfectly in our RV
positive,Nice. Fast Delivery. As advertised.
positive,ON TIME AND AS DESCRIBED. wILL RECOMMEND .
negative,This is a review of the incompetent ad description and specifications provided by Valspar and Amazon ad editors. There is no material specification provided as to the chemical type of paint this is supposed to be. It also requires a hardner - which is not stated in the ad or specs. The product has a 10% one star rating which when coupled with the incompetent ad - would prevent any intelligent person from purchasing it.
negative,"The picture is not correct.<br />Filter media is much thinner and it is less folds than an OEM.<br />The  rubber edging is way too flexible to keep the shape of the air box.<br />It fits my RX 350 fine but takes more effort to put it in because of the very flexible edge.<br />With less and thinner filtering media, I would not trust this filter to last 12K miles.<br /><br />Overall this filter is well bellow par and since it is not much cheaper than OEM, my advise - stay away from it and get better filters.<br />Amazon should change the picture to display the mediocrity of this filter."
negative,"The belt in this kit didn't fit my 2006 Honda Pilot EX (2WD).  This is our 4th Honda with the J series V6 and this is the first time I've tried using an aftermarket belt.  The tensioner went in just fine.  The belt in this kit was easily about an inch short of being able to fit around the pulleys. No amount of moving the tensioner could compensate for how short the belt was.  I went to the dealer and got the correct belt and had no issues getting the factory belt on.  My advice would be to buy the tensioner and get the belt from the dealer.  I recognize there are a lot of people who use this kit and have no problem getting everything installed. This to me seems like a quality control problem with the belt production.<br /><br />Maybe, I should have just gone to the dealer and spent the extra cash for the factory belt.  I ended up paying a buck forty for the gates kit, plus 51 for the dealer belt.  Just for giggles, I asked the parts guy at the local dealership if he'd be willing to come down on their prices for the tensioner and belt.  The parts guy at the dealership was willing to get me the belt and tensioner for around $245 plus tax.  Spending the extra 50-60 to reduce my frustration would have been worth it."
negative,"These do not fit an H9 bulb as described in the product title without modifying the bulb, and the ceramic broke the first time I plugged it in. Don't waste your money if you have H9 bulbs."
positive,"The baddest boy of the bad boy hitch receivers for the rv. Fits around a 4&#34;x4&#34; bumper and you'll probably never get it off after putting it in. This beast was tough to install and prompted me to use a rubber mallet to set the vertical plates. That said, now that it's on, it won't be coming off and I've never been more confident in placing my cargo hitch in back and having it still there when we stop for the night.<br /><br />The support brackets are monsters. Added safety and protection in case a weld is no bueno. Expensive and well built. Worth the price for some added peace of mind."
positive,Great price quality parts
negative,"Axle received, cap off in the box, grease everywhere. Should have learned a lesson with ordering issues from Detroit Axle previously. Poor packaging. Put a"
positive,I used these in my motorhome exterior storage doors to install gas struts to hold doors- worked great. Very sturdy and strong yet drilled with ease.
positive,Outstanding Product Video!  Explained very well and answered all my curiosities regarding the product.<br />Excellent example of how to make a product video!  I plan to purchase this in the coming weeks for<br />installation on interior of A.R.E. aluminum pick-up truck topper interior surfaces.
positive,These do the job.
negative,"This is a great looking Bumper and the bumper itself does go together well. However the bracket that attaches to the truck for the bumper to attach to is off where the bracket mints to bumper about an inch, fortunately, I happen to have a welding fab shop, and was able to modify the bumper side bracket to fit onto the truck. Otherwise it would’ve had to be returned. This was supposed to be a fit for my 2017 Chevy Silverado<br />I added different shackles for my truck<br />A big plus for the fact you can reinstall the sensors"
positive,I purchased these for my 2011 Camaro after I had the tires re-inflated with nitrogen.  The cheap plastic green caps weren't as deep as the OEM valve stem caps and kept snapping in half because the tire techs would over tighten them.  These Green Aluminum Alloy caps were just the ticket and I expect them to last a long long time.<br />They arrived quickly and well packed!
positive,Perfect and great price
positive,"Get a good socket set and wrenches. Take the old running boards off. Then, It's easy, you use the old bolt to screw in the new steps. It took me about an hour. And it looks so good. And it makes it much easier to get in. I love these!"
positive,"This product came with everything it showed, and works perfectly"
positive,"Does what it says.<br /><br />If you're having trouble like I was getting the clutch plate cover off after removing the bolt, try this: run the car. Remove the bolt and go for a drive, I found that after driving for about an hour, the clutch plate worked itself off enough to get your fingers under it and easily remove it.<br /><br />If you're buying this because your belt broke off the connector plug (good job GM engineers) then you can save yourself some money if you are handy with a solder iron. Simply remove the clutch, grind back the ceramic surrounding the two leads in the remaining piece of the plug with a razor. Solder some speaker wire about 4 inches long onto the leads, other end onto the plug, or build your own connector. Then use JB Weld or other non-conductive epoxy to hold the wires into place so the solder connection won't break when hitting bumps, and prevent the wire from contacting the pulley/belt. Let dry overnight and reinstall."
positive,"okay I bought  more than one and have already reviewed it. But I will do it again and add something you need to know if you live where it is hot. I bought one, liked it so much got another one for our other vehicle. lots of slots for CDs plus I like the other departments along with having a pen at arms length.  Beware though, This never crossed my mind, it being leather, but make sure you have CDs in some kind of protector. I took mine out of their protector and just slid them in the slots, One day I tried to pull a disk out and it was stuck. Due to extreme heat in a closed car, it heats up the leather, hate to say it but I have about 4 disks ruined. So i know now to use a protector in the slots."
positive,Installed several of these bulbs today.  They work very well.
positive,"I drive a Nissan 350Z and I love my car!  The one thing I don’t love but these cars are known for is how loud the road noise is when riding in them.<br /><br />I always thought it was just something that I would have to deal with.  I would turn up the radio and tune it out.  Then I found out about sound deadening mats.<br /><br />While I am not a car audio enthusiast although I do enjoy listening to music in my car, I thought this may just help with blocking the road noise so I decided to give it a shot.<br /><br />Now when it comes to auto mechanics I am at a complete loss. I read how to apply these panels and realized that I could indeed do this - and I did without any problem!  This roller made all of the difference - you have to be able to press the mat completely into every crevice to have it adhere to the metal completely.  By using this roller, it is the perfect size to be able to work within tight areas to get the mats installed absolutely flush.<br /><br />The majority of my issue came from the rear of my car above the rear axel, where the spare tire is stored. Besides the plastic housing there is just metal there and noises would reverberate through that area.  This tool was particularly helpful throughout this area as there are multiple dips and indents that without this tool I would have struggled to get the mat in correctly.<br /><br />I placed each panel in place, molded it to the curves of that location using this tool, trimmed off any excess then removed the backing and stuck the panel in place.  After lining the area with these panels I couldn’t believe the difference it made!<br /><br />This is definitely a product I would recommend. It made all the difference in properly installing this product - right tool for the specific job.<br /><br />This is an awesome tool if you are considering installing sound deadening mats - I wouldn’t install them without it."
positive,This is the best I have ever used.  Easy to use and efficient.
positive,Good quality
positive,We got tired of the dog hair and scratch marks on the back seats of the Bronco and were so happy to get these in the mail.  They are so well made and fit the seats of the Bronco perfectly.  My only complaint is that I did not get these sooner!
positive,Needed one for a 94 Nissan Pickup. Works perfectly!
positive,Came fast and fit my car. I now have windows that roll up.
positive,Good for polishing most anything;
negative,"I purchased this hitch cover, it arrived quickly, and is a really nice looking product with a quality feel. It comes in three pieces (the part that goes into the hitch, the emblem, and a piece of self-sticking foam). However, and this is a rather big ""however"", it comes without the hardware to put it together. Nowhere in the description of the product does it explain that you need to purchase screws.  The package it comes in is sealed, and there wasn't any indication that there was even a place the screws should have been.<br /><br />Silly as it sounds for such a simple product, it also does not have any installation instructions, so I am not sure why I need the foam square or what size and type of screws the manufacturer recomends for attaching the two pieces together.<br /><br />If the package told me what size screws would work best (so I wouldn't have to figure it out at the hardware store), I would give this 4 stars. If this product came with the screws, I would give this 5 stars. It really is a nice hitch cover."
negative,no commet
positive,These covers fit well on my '14 Subaru Forester. Very easy to install and the material feels durable enough for the price.<br /><br />Happy.
positive,"I am so impressed with these floor mats. They fit perfectly and are the exact color of my Porsche Cayenne interior. I have purchased others and the color was always off, but this color is great. Why spend hundreds of dollars when you can get great quality for a fraction of the price.<br />P.S I am a female but the are so easy to install &#34;Even a man can do it&#34;."
positive,"Does exactly what it says it does,. This thing works great on everything I have used it on.  The key is you have to drag the item across the device several time for the demagnification to work.  If you just hold it in the middle, not only wont it get demagnetized, it may get more magnetized. I have used it on Tweezers, screw dicers big and small, teeny tiny screws from a watch, all with 100% success.<br /><br />Directions:  Press the button, hold the item with light pressure onto the surface of one side of the device.  Drag the item from side to side with slight pressure down two or three times. More times for larger objects.  Release the button when the item is on the side, not in the middle of the device.  check, repeat if necessary. You should be good to go!<br /><br />If you found this review helpful, please indicate that by checking the appropriate box below."
positive,"For what you pay, this is a really great pick up. Its comfortable, even after wearing it all day for 3 days straight, and can make a world of a difference if you take a hard fall."
positive,"I have a lot of leather furniture in my house. In addition, I also own quite a few leather bags, shoes and belts. Leather conditioners and cleaners can get very pricey so I was very pleased to find Leather Nova - a brand that I see myself repurchasing over and over again because it is very well priced and works wonders on my leather goods!<br /><br />I received one or more of the products mentioned above for review purposes. Regardless, I only recommend products or services that I use personally and believe will be good for consumers like myself. I’m just a regular consumer and I appreciate reading and giving honest feedback about products that regular people like me use on a daily basis or consider buying. My views and opinions are from a customer/end user’s standpoint."
positive,I paired these with the Bestop 42921-00 d-rings and they work just as I imagined.
positive,"Nice and well done. They do what you expect them to do and if you need to secure something, they work."
positive,Great double right angle aux jack!
positive,Curt produces quality items and this has worked well to keep our popup locked in place on our hitch. High quality.
negative,This is nice and is well made but hardly noticeable and way over priced
positive,"Very easy to install, it took me about 3mins to get this done."
positive,So far so good. No complaints. Seems to do the job
positive,none
positive,Color is bright and vivid! Love it!
negative,"Hard to install tabs at the end. Screw cracked the plastic the moment it caught in the metal. Looks good, but not a fun install."
positive,This replacement oil pressure switch for my older Jaguar is actually better made than the original.  It fit well and was easy to hook up and saved me a bundle of cash at the same time.  I recommend this replacement for any Jaguar or other vehicle that it fits.
positive,"Comes with the battery connections and clamps, works as describes, keeps you battery ready."
positive,"great price, good quality and super easy to install simple instructions to follow, going to buy more for my other cars"
negative,"The product arrived in apparently undamaged packaging.  Two bulbs packed together so tight I think they may have been damaged by their own compressed packaging.  One bulb a dust cap popped off.  I thought it would snap back into place but it refused.  It fit up flush and seated but nothing but gravity to hold it in place.  Both bulbs did NOT light up.  I replaced them, one at a time, with a spare known to be good and it is working.  But when I put these LED bulbs back in they do not come on.  I am very disappointed with these bulbs - two duds right out of the package...<br /><br />2ND REVIEW - A FOLLOW-UP:<br />My friend tells me to check the fuse because these are the first LED bulbs I have tried.  Sure enough - the fuse popped!  This is the first time in nearly 15 years that truck has blown a fuse.  After replacing the fuse now both bulbs are working.  But I'm going to keep a sharp eye on them and the circuit - don't need to burn down my truck over an LED bulb upgrade.<br /><br />3rd REVIEW - A FOLLOWING FOLLOW-UP:<br />After driving for many nights I have found these bulbs to be very dim.  The OEM reflectors are designed for a single-source bulb - a filament.  But these LED bulbs are covered in tiny LED lights - there is no one singe source of light.  This makes the light ooze out in all directions instead of reflect sharply into a focused pattern.  I replaced them and returned to conventional OEM style bulbs."
negative,"Inaccurate item description. These are for the mini fuse not the very small blade style like it shows. Seem to be of decent quality, though."
positive,Perfect organizer for your car. Lots of space to hold things!
positive,Recommended by my MINI dealer and it is the best! Easy application and great shine! The same wax that the dealers use!
positive,"Exact fit. Worked like a charm. Now only if Honda put these in a easy to access location. If you not too handy, not a DIY project. Total time in and out 3 hours."
positive,They work but there is probably better
positive,Every jeep should have this. 2 min installation and wat better than whats currently in its spot.
positive,Worked real good just like the factory one.
positive,"I bought these for my boyfriend a few months ago to wear while riding his motorcycle.  They work great, although the transition isnt quite dark enough for intense sunny days, hence the 4 star rating.<br /><br />The features I love about these is that he doesnt have to carry around 3 pairs of sunglasses.  He frequently rides for hours, and these transition nicely from day to night.  The venting on the side really works great to keep them from fogging up, and the lenses are open more on the side to allow him to see things to the right and left much more easily.  They stay put no matter how windy it gets."
positive,Just right.
positive,Cute and simple to put in
positive,Terrific product. Easy to purchase and apply. Recommend it for personal use and as a gift.
positive,Great product.  Fast shipping.  High quality part that made the exhaust system look better.  Also measurements are spot on for ID/OD
positive,"Awesome shield! Not only does it look great, it functions great as well. If i need a new one one day i will buy it again."
positive,"Ride nice, looks nice, installed in 4 hours. Adjustable links for the rear can be moved to raise the rear a little more if you like a small rake."
positive,got here in good shape.
positive,These work awesome for removing contaminants in your car paint that a regular wash won't remove. It's amazing how much smoother the paint is after using these.
positive,good product good quality
positive,Exactly what I needed for pulling a trailer. Truck didn’t come with it. Easy to follow Utube instructions and install. Worked perfectly with my truck and trailer.
positive,Great buy! It’s soft and protective!
positive,"I was a little skeptical based on the reviews. Some of the photos also make the seat cover look like it doesn’t fit well and looks sloppy.<br />While it is wrinkly out the box and not completely perfect, it fits well for a universal cover. My main goal is to save my leather seat from my English Mastiff’s claws.<br /><br />I was surprised by the feel and weight of the material. While I knew it would not be the canvas material, I was nervous that the nylon would be thin and flimsy. First impression, it seems quite durable.<br /><br />The fit is a bit tricky and took maybe 20min of tweaking. Parts feel like it is a little too snug, but with pulling and adjusting I got it in the right spots. The corner bits are a little tight around the head rests (not a deal breaker!) and the straps are a little tricky to adjust with the split seat. Again, just a lot of adjusting to get it how I want it.<br />The draw string to tighten the base of the cover is hard. There is no give with it so it just doesn’t feel like I can get it tighten enough. The ends of the draw string go up the side edges, so there is a lot of play in that string. It’s also super tricky to find a good place for the hooks, on said draw string, in the corners of the base. I see in the video that he “hooked them on behind the seatbelt” but there wasn’t a fantastic spot for that.<br /><br />I’m not loving how big the holes are for the seat belt buckles. More seat is exposed than I expected.<br /><br />Over all, it looks better in person than the photos I took. I’m excited at the clean look,  durable feeling, better than decent fit, and the color.<br /><br />My 4/5 is mainly due to the nylon drawstring (I anticipate having to make adjustments due to that) and how large the seat belt buckle cuts are.<br /><br />Will update if the cover becomes problematic."
positive,great sturdy product -
positive,love it
negative,listing say white light  but when received  its is red  can't use it
negative,"I like the fact that this switch looks like the original when installed. It does control the window. It is clearly not a direct replacement for a 1996 Suzuki Sidekick. It did not fit the door bezel without significant modification to the switch and the bezel. In order to hold it in place I had to install 4 ea. # 2 screws  through the plastic sides of the bezel and into the fins at the bottom of the switch. The electrical connector was a direct fit, which was a relief."
positive,Used to top up 2018 Jeep Grand Cherokee coolant nearing minimum level.  OEM product at great price.
positive,Nice touch to my black Challenger with the black top package. I live in NJ and it covers a little of the &#34; Garden State&#34; writing on the bottom of the license plate but have no issues with local law enforcement so far.
positive,Great small packaging for motorcycle use.
positive,great
negative,I installed this bearing by the book all correct tourqe specs and all. It lasted less than 50 miles. You get what you pay for.
positive,I did a lot of checking to make sure this really did fit my mower and was very pleased that it was perfect for it and functions just like it's supposed to.
positive,These are great for panel lining. Don't press hard just lightly apply to surface. I used a Q-tip quickly dipped in isopropyl alcohol  to remove excess marker.
positive,all I wanted
positive,Excellent tire gauge.
negative,"The mat for the driver's side is not the shape of a Tucson Hybrid Limited 2023 floor but I did some cuts, and I gave a not bad shape. The rubber is not the best, is a little bit faded but for the price, we can't ask for more."
positive,Great wipers one slide out once but after sliding the blade back in place it's been perfect
positive,I mix it up by the soda bottle - the liter size.  I've marked on the bottle how much of this concentrate to add and another line for the amount of water.  Makes it easy for me to fill my car's windshield wiper fluid.  I have a couple of used soda bottles filled so that I always have some made up.  This stuff works just fine and the price is excellent for how much I get.
positive,"Nice heavy duty metal, should hold up just fine. Top notch Quality"
positive,Very well made!  Don't settle for anything less than K&N!
positive,It fit easily on my 2000 Kawasaki kx125.great product
positive,Good charger
positive,"Bought this just for a VW fuel filter, but all and all this set is great. Case is sturdy and pretty complete for my next jobs. Do not regret buying this at all, thought at first that the aluminum would shear but its pretty tuff"
negative,Ordered for my 2011 Tahoe.  Rear seat mats do not fit.  Called WeatherTech.  Their response was GM changed the floor shape for 2011.  So?  Why do they advertise and charge for custom fit mats if they don't bother to make them fit?  Why don't they acknowledge that up front before you buy them?
positive,It took me about three hours to install. It was a pretty tight fit length wise and then loose in the air box side. We'll see.
positive,Worked great. Fit perfectly
positive,"The price seemed a little high but you will get what you paid for.  The quality of the boot is very good, it fits perfectly on the Accugage and it will definitely do the job."
positive,It did fit my truck and i love it
negative,"This one strut is especially noisy, the other rear one is fairly quiet, but I guess you get what you pay for... I'm going to go to my local Napper and let them stick it to me."
positive,"Worked great, good size. Just take your time removing it from its backing. If you get frustrated, take a breather then come back"
positive,Starts up my old lawnmower!
negative,Doesn't work don't make a sound
positive,Put them in my 03 Sierra. Very awesome. They look and function outstanding! Great for drls and back up lights.
positive,Replaced original starter with this product. Installed the unit myself. Remember to label or remember which wire came off which bolt. Use the new nut and lock washer. Disconnect the battery and fully charge with your float charger. Installed bat and it started right up. A pleasant sound in mho. Its been 2 days since installation. If I have problems will definitely write an added comment.
positive,I have a 2004 Forester. I replace my old timing belt with this Gates one Saturday 6/20/2015 every thing fit as it should and quality looked good. Make sure you have torque wrenches and a friend. Total time about 6 hours total. Order a 21200AA072 Thermostat with this kit.<br /><br />It helps if you have sprocket wrenches for the cam gear and crank shaft pulley. I had to take off the cam gear to get the water pump on.<br />Order a 21200AA072 Thermostat with this kit.
negative,"Three stars because it works well but is a HUGE pain. I spent about 7 hours rubbing this mud off my car. Such a terrible experience. My arms and hands ached for two days. However, if this is what’s necessary to get the Xymol black wax to work well, then maybe it was worth it."
positive,Love this stuff.
positive,"Works like it should. Not super heavy duty, but it gets the job done."
positive,"Looks great and an easy install. The only reason I did not give it five stars is that it is more gray then black. Otherwise, I'd recommend them to anyone."
positive,I like that it gives me comfort (skinny butt) and raises me in the drivers seat.
positive,[[VIDEOID:8a46bac13cc1489e2ecdb8510054d834]] Seems like a nice kit.  I like the design.  There are many tools in here you can use<br /><br />There are YouTube videos of how to use these sort of kits.<br /><br />I like the design and think it will work pretty well I hope
positive,GREAT BUY
positive,"This is the EXACT replacement for the one in my 2009 Honda FIT.  Honda's design for the little plastic nub that holds the cap while you are filling the washer tank, is poor.  The cap comes loose and falls down inside the engine when filling the washer tank.  So I instead used a piece of wire wrapped around the little ring to hold the cap in place to a nearby hose.  Works fine and it does not come off and fall down inside the engine any more!"
negative,Didn’t work out of the package. Waste of money don’t get this piece of crap.
positive,looks good
positive,"Although I'm not happy that these aren't made in USA, they fit perfectly. Even the wiring for the ABS sensor has the mounting insulators in the exact spot as OEM. My truck drives like new now. MOOG get your manufacturing back to USA!"
positive,Used this to repair a stripped thread on a BMW 325is exhaust.  Worked GREAT!  The kit comes with everything you need.  Just make sure to get the right size.
positive,"Used this to reseal the case on my kdx200 dirtbike after a full rebuild. Went on well with a small paint brush, seems to be holding up fine after a few rides. would use it again."
positive,"These are just the thing for do it yourselfers. They fit perfectly, and very easy to unistall the old ones, and pop these right in."
positive,Nice product for the money.  I recommend it.
positive,Great product
positive,"I have a 2005 Honda Pilot with 120,000 miles, failed emissions test, in 2015 at which time I was told would need sensors and converters with price range $1800.00 to $2500.00.  I found a independent mechanic who also failed emissions, he was puzzled as car did not exhibit any objective issues he would expect to be associated with such  codes ) he kept car and drove for 75 miles),, code was deleted and  I continued to drive with quarterly high end fuel and a good 100 mile highway trip for 70 -80 miles/hour speed.  Check engine light appeared again  in October 2017 and would not go off even with 93% octane gas, rechecked codes at Jiffy Lube in December 2017. My mechanic had retired so  I researched for something to try before major costly repairs in a car that still performed perfectly and now with only 132,000 miles.<br /><br />Over New Years weekend I took a 400 mile highway  round trip, filled tank with gas (no alcohol, expensive)  to clean out system, with just quarter tank of gas left I added bottle of CataClean and drove at top speeds,then  filled up with 93% , with only quarter tank gas put bottle #2, back on highway , check engine light went off.,  I filled up with  regular gas, drove through January 2018 without any problems,  To ensure emissions pass ( I live in Chapel Hill, NC) I put bottle 3 in gas tank with quarter tank of gas, got  on a road I could push petal to floor 3 days before inspection - came out with clean codes.<br /><br />This worked for me and I have had emissions codes for 3 years popping up.  Go figure, a car is a machine being diagnosed by another machine for emissions..<br /><br />  What is up with this county by county emissions law ?,  Does NC have emissions concern or not.  I could go to OBX where having plastic bags can bring a hefty fine, yet no emissions,  really the Sea and its inhabitants are more important than the air we all breathe.  I support both, just curious as to why is only dictated at county level."
negative,These are pretty but I ordered red and these are orange.I'm so disappointed.
positive,Looks great on the camper steps and easy to install
positive,Super basic but they’re super absorbing and super soft :)
positive,"I'm 5ft tall so seeing the complete rear of my car is hard, but with thi mirror my view if rear window and blind spots are no more."
positive,works surprisingly well on 45 year old tires
positive,Great
positive,I love this plate frame!  It looks so classy on my truck!  It's sturdy and the colors are beautiful!
positive,"I worked perfectly on my 1999 Hyundai Elantra GLS.  Very straight forward replacement, just make sure you have your breaker bar or some type of lever ready for taking off the old one."
positive,"Husband loves them, they are a little small"
positive,"Sizing was perfect, easy to use, easy to store, and does the trick."
positive,thank you
negative,They are not working well.
positive,Better than advertised
positive,"We use this filter after our soft water filter and boy does it make the water clear & tasteless! This like most filters need to have all the O-rings lubricated with a food safe lube. Otherwise, you will get leaks and become frustrated. Awesome deal and filter, definitely recommended!"
negative,This seems to work ok but the first one broke when I pushed it into the fuel line.  It feels very flimsy and I wouldn’t order this again.
positive,Great for my sponsor children's scrapbooks (each get their own flag stickers for their countries).  Just what i wanted.  Well made- not skimpy.
negative,Cheap !! Junk !!
negative,"aint installed it yet, I will see"
positive,Works for those gym cloths
positive,These type of scrapers are very good to clear ice on the glass. Plastic scrapers tend to pit when you scrape ice.
positive,"The blower level 1 didn't work, only 2, 3 and 4 would blow air through the vents. But with this replacement it fixed the problem. Now I don' have to run it at 2 all the time which sometimes gets too cold and I have to turn it off and on again after it starts to warm up."
positive,"Good new car smell, but smell does not hang around a long time"
positive,so easy to install
positive,"I live in Florida so it is always hot and rainy in the summer. Anytime I opened the window during the rain, it would stream water directly into the handle, door pocket and my left leg.<br /><br />I have these for my Acura TL also, and love them.<br /><br />IF YOU READ THE INSTRUCTIONS CORRECTLY, you have no issues with &#34;grabbing&#34; or &#34;ruining windows\motor&#34;.<br /><br />The correct installation shows that near the side mirror, it is to be placed OUTSIDE the channel, not INSIDE. If you put it INSIDE (and I did at first), it will cause the window to grab, and the window motor is trying to wedge the window and the deflector in the small space. If you place the LIP OUTSIDE, it works like a champ. It tells you in the install sheet, but you have to look closely."
negative,Sold the truck before I had a chance to restore.
positive,"These are so much nicer than I was expecting! The fabric is nice and thick and very heavy duty! They wipe off easily and don't absorb messes. The ties that hold them onto the seat are very nice and I really like that the bottom tie is stretchy and not an adjustable strap with the plastic piece and a bunch of leftover strap to figure out what to do with. It is easy to pull it down and tuck it into the crease of the seat so you dont even know its there. Plus it helps to keep the bottom of the mat pulled down on the back of the seat. The top strap is just long enough to go around the headrest really well without a bunch of leftover strap (the top one is not stretchy).<br /><br />I put one mat in my husbands truck (A Dodge Ram) and one mat in my car ( A Scion Xb) and it fit both perfectly. I used it in the Dodge to cover the seat in front of my forward facing sons seat, and I used it in the Scion to cover the seat at the foot of my daughters rear facing seat (I just tucked it in at the bottom without trying to wrap the strap all the way around the seat - works just fine since the mat is somewhat slick so she cant get a foot hold on it enough to pull the bottom of it up). It works great for both instances!<br /><br />I am extremely pleased that I was able to receive this product for free in exchange for my completely truthful and impartial review. Even if I did have to pay for these, they are WELL worth the asking price to save your seats anymore unnecessary wear and tear. I HIGHLY recommend them!"
negative,My father is complaining it is missing the cover and that it will fly off during a rainstorm and scratch at the window. So no I'm not happy
negative,"I was tightening one of the four straps and it ripped off. I just passed the 1 month return/replace window. I like everything about this product, it lasted a few drives, but then a strap ripped off. I would really appreciate a second chance trying this item, if you could replace it. Thank you"
positive,These replaced my old wore out ones great
positive,"What a great idea!  My pocketbook is always on the front passenger seat and when I stop short or turn, it falls and the contents go everywhere.  When I use this holder, I know where my bag is and the contents stay  where they belong!"
negative,"I found the ""made to exacting tolerances for proper performance"" claim not quite accurate.  I needed a 31 tooth gear. This part had a 33 tooth gear. A precision gear shaft made to exact replacement tolerances should have made the old and new sensor gear shaft interchangeable. The shaft diameters were not the same and therefore not interchangeable. So, unfortunately, I could not use the new unit with the old gear and shaft, and had to return it.  I also noticed some sloppiness in the new gear shaft fitment as compared to the used unit I needed to replace."
positive,The Rotors are very good and fit Perfectly and been driving with No Issues Brakes are smooth
positive,"I bought this and the Meguiar's one at the same time to try out two major competitors.  This one was super soft and kept soaking up water.  I was able to dry my wife's Cherokee without ringing out the towel.  The Meguiar's one I had to ring out 3 times for my Charger and felt scratchy.  I will see how this holds up over time.  So far, I like this one better and I am thinking about order another one or two.  My one complaint is that the tag is a little scratchy feeling and has to be folded out of the way."
negative,"This item is sturdy and the lock is secure.  But you must be sure that you have enough room for it on your vehicle.<br /><br />I ordered this intending to use it as a hitch lock on our motorhome...but it is so long, there is no room to use it.  It hits the body on both sides, due to the length, so it cannot be inserted from either side.  While the lock end needs to be lengthy, the other side did not need to be so big and that is where the problem was.  Maybe our hitch is not the same as some other motorhomes.<br /><br />I showed it to my husband and he tried to put it on our Jeep, but he ran into a similar problem.  The Jeep flat-4 electrical connector is mounted on one side of the hitch and it prevented him from pushing it in from that side, and if he slid it in from the other side, then there was no room for the lock end.<br /><br />It is designed for both 2"" and 2-1/2"" hitches, but the problem is that both ends are just too long.  If you have plenty of room, it would be a good lock.  We simply did not have enough room on our vehicles.  See pictures for the length.<br /><br />I gave it 3 stars because it does seem to be a very sturdy lock, just not for our vehicles."
positive,"Exactly what was needed for the deeper Zipp rims.  Removable valve core tubes and these extenders make everything so much easier.  I wish you could buy different lengths in a set, but this was a huge improvement.  48mm valves on the tubes and 60mm extensions fit the 808 rear wheel well but are long on the 404 front wheel."
positive,Great product
